,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,2,0,7,4,0,0,10715768.546919249,172499751.58673057,61400000.0,0.0,0.016860573748911912
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,6,0,0,5,6,6,5,0,0,0.0,197345693.6486209,30700000.0,0.0,0.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,1,0,1,1,1,3,0,0,6408524.999465503,189726199.2597263,0.0,0.0,0.004553622950302513
3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,83205445.80353703,48052708.43575075,115300000.0,0.0,0.10449931905596001
4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,7,0,0,1,1,0,3,7,0,6,0,0,279147.56163239334,179108926.72096783,176700000.0,16.735036008771907,1.9232009416423653e-05
5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,5,3,0,0,42363509.746111095,94328313.88026166,115300000.0,0.0,0.03865742235229297
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,3,0,0,4,0,0,7,1,1,5,0,0,9419341.535276253,174146236.40216404,30700000.0,160.81859296079722,0.0007940127034541055
7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,4,1,0,4,1,7,3,0,0,2555244.7885781964,156588541.3667195,146000000.0,134.18375836466956,0.0002888712455008201
8,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,7,0,3,0,0,19892748.55092559,64912465.45119992,176700000.0,1330.4351038968734,0.0019016223207594738
9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,2,1,1,4,0,0,24222071.58503074,123114508.18685484,61400000.0,0.0,0.02211507082669843
