,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,67,114.11414218571912,1.0,0.8103784030028859,183.41424267321383,10.0,0.004515947970946968,253.95996807268077,10.0,0.08335455741798777,211.36353338284994,1.5,0.7444370231138395,287.34435434963956,1.0,0.5842914041114063,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,dikesnet
1,70,186.3774523899254,1.0,0.9578011982738734,79.56297732241661,1.0,0.8962259107663334,235.3365608093843,10.0,0.460396093344219,135.49543600878704,1.0,0.5189833140436758,145.27982384542292,1.5,0.20974087025315574,4.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,dikesnet
2,99,44.182916700021764,1.0,0.27690088997885387,279.45372186867587,1.0,0.436956049531215,135.23306229640576,10.0,0.11591285935922524,98.64074245100797,1.0,0.007001818774429284,48.60677121209826,10.0,0.7120951566037436,2.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NaN,dikesnet
3,36,163.37520527026936,10.0,0.5423704420128329,313.40008663227485,1.5,0.44713833080226084,245.12405217646278,1.0,0.4641394686265127,137.3334625863766,1.0,0.6385283086846089,306.56551217527175,10.0,0.291756869374144,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NaN,dikesnet
4,50,188.08071642875976,1.0,0.8960024147127339,74.55643965264059,1.0,0.34725348785339427,284.9396784762746,1.5,0.053591614356947655,198.16048880582755,1.5,0.4832133899075908,226.62275827481886,10.0,0.5691666608468335,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NaN,dikesnet
5,68,54.69863130853661,10.0,0.3914736702823446,87.81303792872168,1.5,0.863143458533297,68.70875296233905,1.5,0.569808109762889,210.64676106640547,10.0,0.7874092193238125,215.80106525039014,1.0,0.2679300596347113,1.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NaN,dikesnet
6,13,107.42293056080102,1.5,0.8465683662564235,38.533477177018256,1.0,0.722452509219086,303.8433927942276,1.5,0.23098465941012622,272.677030624902,10.0,0.5479540431617413,86.78731050513831,1.0,0.9914038386258328,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NaN,dikesnet
7,29,336.06786574669445,1.0,0.7986383767953468,243.1090066219786,10.0,0.4304433635868439,208.64434611353352,10.0,0.9059823381055401,209.2127235344337,10.0,0.6092836789959784,38.91493546627227,1.5,0.6477119280098436,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NaN,dikesnet
8,112,140.77674899131773,10.0,0.6053892072405052,312.2213741776674,1.5,0.19494216832364583,316.17902228910566,1.0,0.2424522133597547,49.081339239298856,1.5,0.655726901319723,285.3479401186979,1.5,0.8531938295101259,1.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NaN,dikesnet
9,115,189.47512130138216,1.5,0.4774007011244236,59.72266560973334,1.0,0.7057484077109979,156.18940952937064,1.5,0.8227359215372325,76.6061603419573,10.0,0.47251366163653646,245.05149847397544,10.0,0.2885152986192384,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NaN,dikesnet
10,53,42.5853376234147,1.0,0.4017078909754876,139.8570466442088,1.5,0.33695973977589927,120.19953569670238,1.5,0.9984350844787911,85.27406505405233,1.5,0.19561976323600916,206.0930502848254,1.0,0.588680147168177,4.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NaN,dikesnet
11,0,305.8961160940799,1.5,0.1884886426310487,244.4824158681381,1.5,0.9259589670246932,314.67791204912635,1.5,0.6361026118111557,202.0595410743437,1.5,0.013061503041840646,98.36021582448373,1.0,0.01345938002931216,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,NaN,dikesnet
12,110,328.5514068658279,1.0,0.0001227849537675026,326.1043961647364,1.0,0.2884636792850478,307.9782781860525,1.5,0.7748063040595415,47.77285797622571,1.0,0.7278829375103937,120.98233427310961,1.5,0.36643505798777515,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NaN,dikesnet
13,96,49.621835601335476,1.5,0.15270209657992745,105.83714126126736,1.0,0.879300383642633,63.4351645329098,1.5,0.7526408874506711,304.4670418005502,1.0,0.45959564670197395,215.24750472203698,1.0,0.25677501876349784,2.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,NaN,dikesnet
14,111,152.0021555724975,10.0,0.3227998955392761,335.9698399466891,1.5,0.641441943537,178.16212667078113,10.0,0.36633445700085066,94.98737719730944,1.0,0.7796105965697435,89.05376234577741,1.0,0.8761679979943641,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NaN,dikesnet
15,6,123.94473280722288,1.0,0.6971646466680007,127.55297452855629,10.0,0.6369249746713462,114.17042726079303,1.5,0.10020678047525862,286.19332042403977,1.0,0.83539029795178,231.8863905614545,10.0,0.31449967670861617,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,NaN,dikesnet
16,124,146.21550735934824,10.0,0.8989124978838918,130.23305008416077,1.0,0.710189474886856,101.12362467953326,1.0,0.8177563992038941,81.47166692504166,1.5,0.46117892159360974,313.6137718584757,1.0,0.5956026535868088,3.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,NaN,dikesnet
17,49,130.09156242062068,1.5,0.19305980849809257,323.8934901598494,1.0,0.27352135820644935,50.20492488500413,1.0,0.8436963289179481,60.76099947294155,1.5,0.708308424161494,67.86132367771239,1.5,0.12919110585973512,3.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,NaN,dikesnet
18,88,98.1190487117291,10.0,0.23572661104529954,280.7656890787513,1.0,0.387649525741238,122.1369908882377,1.0,0.9386266380231428,231.12574042698415,10.0,0.13628175530410203,283.6204277463381,1.0,0.9091820082709309,3.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NaN,dikesnet
19,44,96.17093853294901,10.0,0.5062546834952794,172.276480967727,10.0,0.5920034810206874,327.24303515122017,10.0,0.0073036453802202755,192.83996325072548,1.5,0.5424143356833592,241.36172606675072,10.0,0.767477340409896,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,NaN,dikesnet
20,96,187.79444384003426,10.0,0.2052459339794359,128.30980795293914,1.5,0.5189695347180037,294.55750466346126,1.0,0.8931754962492353,120.98966261378007,10.0,0.3630346963050457,81.19011345358649,10.0,0.8775065266185366,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,NaN,dikesnet
21,22,290.33437238319897,1.0,0.722216496484772,216.36392493286067,1.5,0.26155674553680375,62.00416113232046,1.5,0.9496891282958408,160.07407005542007,1.0,0.5602216218210277,174.68550087705228,10.0,0.5589137274943726,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,NaN,dikesnet
